date,close,vol_usd,vol_btc,fed_rate,gold_usd,kospi,ex_rate
2014-03-07,616.72998,1498290,2429.4100312749515,0.08,1335.25,1974.68,1067.4
2014-03-08,609.210022,1335982,2192.9744287758945,0.08,1335.25,1974.68,1067.4
2014-03-09,627.049988,1209993,1929.659553713284,0.08,1335.25,1974.68,1067.4
2014-03-10,612.969971,1648979,2690.1464639611195,0.08,1344.0,1954.42,1062.6
2014-03-11,608.6900019999999,1520733,2498.370262372077,0.08,1346.25,1963.87,1065.9
2014-03-12,619.429993,2022394,3264.9274701814447,0.08,1366.0,1932.54,1064.8
2014-03-13,625.039978,2168407,3469.2292914422187,0.08,1368.75,1934.38,1069.2
2014-03-14,614.030029,2514218,4094.617333446407,0.08,1385.0,1919.9,1067.4
2014-03-15,624.030029,2168732,3475.3648049203093,0.08,1385.0,1919.9,1067.4
2014-03-16,619.1400150000001,2055390,3319.749895344755,0.08,1385.0,1919.9,1067.4
2014-03-17,606.380005,2227123,3672.8173449584638,0.08,1378.5,1927.53,1072.0
2014-03-18,598.929993,2234320,3730.5194699107346,0.08,1355.75,1940.21,1069.9
2014-03-19,594.960022,2164735,3638.4545514891756,0.08,1338.0,1937.68,1067.9
2014-03-20,565.98999,2471474,4366.639063704995,0.08,1327.0,1919.52,1070.7
2014-03-21,549.599976,2173864,3955.3567957215487,0.08,1336.0,1934.94,1075.3
2014-03-22,564.340027,2078360,3682.8151478966424,0.08,1336.0,1934.94,1075.3
2014-03-23,551.159973,2286135,4147.861078438655,0.08,1336.0,1934.94,1075.3
2014-03-24,567.5599980000001,2024402,3566.851094393019,0.08,1310.75,1945.55,1080.3
2014-03-25,562.8900150000001,2172190,3858.995438034195,0.08,1313.5,1941.25,1079.7
2014-03-26,562.450012,2087611,3711.6382886662645,0.08,1304.0,1964.31,1078.2
2014-03-27,460.450012,2010894,4367.23628535816,0.08,1296.0,1977.97,1075.0
2014-03-28,482.60998499999994,2022261,4190.259345753073,0.08,1294.75,1981.0,1072.8
2014-03-29,477.10998499999994,2087784,4375.896681349061,0.08,1294.75,1981.0,1072.8
2014-03-30,446.920013,1769770,3959.925598588041,0.08,1294.75,1981.0,1072.8
2014-03-30,446.920013,1769770,3959.925598588041,0.08,1294.75,1981.0,1072.8
2014-03-30,446.920013,1769770,3959.925598588041,0.08,1294.75,1981.0,1072.8
2014-03-30,446.920013,1769770,3959.925598588041,0.08,1294.75,1981.0,1072.8
2014-03-30,446.920013,1769770,3959.925598588041,0.08,1294.75,1981.0,1072.8
2014-03-30,446.920013,1769770,3959.925598588041,0.08,1294.75,1981.0,1072.8
2014-03-30,446.920013,1769770,3959.925598588041,0.08,1294.75,1981.0,1072.8
2014-03-30,446.920013,1769770,3959.925598588041,0.08,1294.75,1981.0,1072.8
2014-03-30,446.920013,1769770,3959.925598588041,0.08,1294.75,1981.0,1072.8
2014-03-30,446.920013,1769770,3959.925598588041,0.08,1294.75,1981.0,1072.8
2014-03-30,446.920013,1769770,3959.925598588041,0.08,1294.75,1981.0,1072.8
2014-03-30,446.920013,1769770,3959.925598588041,0.08,1294.75,1981.0,1072.8
2014-03-30,446.920013,1769770,3959.925598588041,0.08,1294.75,1981.0,1072.8
2014-03-30,446.920013,1769770,3959.925598588041,0.08,1294.75,1981.0,1072.8
2014-03-30,446.920013,1769770,3959.925598588041,0.08,1294.75,1981.0,1072.8
2014-03-30,446.920013,1769770,3959.925598588041,0.08,1294.75,1981.0,1072.8
2014-03-30,444.660004,1850592,4161.813483004421,0.08,1294.75,1981.0,1072.8
2014-03-30,444.660004,1850592,4161.813483004421,0.08,1294.75,1981.0,1072.8
2014-03-30,444.660004,1850592,4161.813483004421,0.08,1294.75,1981.0,1072.8
2014-03-30,444.660004,1850592,4161.813483004421,0.08,1294.75,1981.0,1072.8
2014-03-30,444.660004,1850592,4161.813483004421,0.08,1294.75,1981.0,1072.8
2014-03-30,444.660004,1850592,4161.813483004421,0.08,1294.75,1981.0,1072.8
2014-03-30,444.660004,1850592,4161.813483004421,0.08,1294.75,1981.0,1072.8
2014-03-30,444.660004,1850592,4161.813483004421,0.08,1294.75,1981.0,1072.8
2014-03-30,444.660004,1850592,4161.813483004421,0.08,1294.75,1981.0,1072.8
2014-03-30,444.660004,1850592,4161.813483004421,0.08,1294.75,1981.0,1072.8
2014-03-30,444.660004,1850592,4161.813483004421,0.08,1294.75,1981.0,1072.8
2014-03-30,444.660004,1850592,4161.813483004421,0.08,1294.75,1981.0,1072.8
2014-03-30,444.660004,1850592,4161.813483004421,0.08,1294.75,1981.0,1072.8
2014-03-30,444.660004,1850592,4161.813483004421,0.08,1294.75,1981.0,1072.8
2014-03-30,444.660004,1850592,4161.813483004421,0.08,1294.75,1981.0,1072.8
2014-03-30,444.660004,1850592,4161.813483004421,0.08,1294.75,1981.0,1072.8
2014-03-31,463.450012,1845836,3982.8157346126036,0.08,1291.75,1985.61,1068.8
2014-04-01,424.369995,2004152,4722.652458027811,0.09,1283.75,1991.98,1066.1
2014-04-02,436.30999800000006,1708540,3915.885512208684,0.09,1292.0,1997.25,1060.5
2014-04-03,444.35998499999994,1127311,2536.9318526734583,0.09,1284.0,1993.7,1057.0
2014-04-04,456.630005,529964,1160.5982835052637,0.09,1297.25,1988.09,1058.1
2014-04-05,455.69000199999994,1644846,3609.572281114037,0.09,1297.25,1988.09,1058.1
2014-04-06,462.380005,1847982,3996.6736883442873,0.09,1297.25,1988.09,1058.1
2014-04-07,466.55999800000006,1839605,3942.911968205212,0.09,1299.0,1989.7,1056.1
2014-04-08,457.339996,1809262,3956.0546110644564,0.09,1309.5,1993.03,1053.4
2014-04-09,384.630005,1547153,4022.444894802214,0.09,1301.75,1998.95,1053.6
2014-04-10,435.14001500000006,2175242,4998.947292861585,0.09,1320.5,2008.61,1043.2
2014-04-11,437.64999400000005,2293511,5240.514181293464,0.09,1318.0,1997.44,1036.0
2014-04-12,427.60000599999995,2143146,5012.034541458824,0.09,1318.0,1997.44,1036.0
2014-04-13,478.380005,3546258,7413.05648842911,0.09,1318.0,1997.44,1036.0
2014-04-14,526.429993,3945871,7495.528470012537,0.09,1325.75,1997.02,1037.5
2014-04-15,536.950012,4192651,7808.27061421129,0.09,1298.0,1992.27,1038.9
2014-04-16,502.0,4097576,8162.501992031873,0.09,1301.5,1992.21,1041.2
2014-04-17,485.51998899999995,4112826,8470.971521627713,0.09,1299.0,1992.05,1041.3
2014-04-18,506.01998899999995,4154929,8210.997767521,0.09,1299.0,2004.28,1037.1
2014-04-19,498.51000999999997,3879198,7781.5849675716645,0.09,1299.0,2004.28,1037.1
2014-04-20,495.160004,3688692,7449.495052512359,0.09,1299.0,2004.28,1037.1
2014-04-21,487.910004,2824567,5789.114748301,0.09,1299.0,1999.22,1037.2
