date,gold_usd
2014-08-20,1295.0
2014-08-21,1275.25
2014-08-22,1277.25
2014-08-23,1277.25
2014-08-24,1277.25
2014-08-25,1277.25
2014-08-26,1286.0
2014-08-27,1282.75
2014-08-28,1292.0
2014-08-29,1285.75
2014-08-30,1285.75
2014-08-31,1285.75
2014-09-01,1286.5
2014-09-02,1267.0
2014-09-03,1265.5
2014-09-04,1271.5
2014-09-05,1266.0
2014-09-06,1266.0
2014-09-07,1266.0
2014-09-08,1259.0
2014-09-09,1255.75
2014-09-10,1251.0
2014-09-11,1241.25
2014-09-12,1231.5
2014-09-13,1231.5
2014-09-14,1231.5
2014-09-15,1234.25
2014-09-16,1232.25
2014-09-17,1236.0
2014-09-18,1220.5
2014-09-19,1219.75
2014-09-20,1219.75
2014-09-21,1219.75
2014-09-22,1213.5
2014-09-23,1222.0
2014-09-24,1217.25
2014-09-25,1213.75
2014-09-26,1213.75
2014-09-27,1213.75
2014-09-28,1213.75
2014-09-29,1219.5
2014-09-30,1216.5
2014-10-01,1216.5
2014-10-02,1211.75
2014-10-03,1195.0
2014-10-04,1195.0
2014-10-05,1195.0
2014-10-06,1195.75
2014-10-07,1210.5
2014-10-08,1217.0
2014-10-09,1226.75
2014-10-10,1219.0
2014-10-11,1219.0
2014-10-12,1219.0
2014-10-13,1229.0
2014-10-14,1234.75
2014-10-15,1237.5
2014-10-16,1237.75
2014-10-17,1234.25
2014-10-18,1234.25
2014-10-19,1234.25
2014-10-20,1244.5
2014-10-21,1250.25
2014-10-22,1243.75
2014-10-23,1232.75
2014-10-24,1232.75
2014-10-25,1232.75
2014-10-27,1228.75
2014-10-28,1229.25
2014-10-29,1223.5
2014-10-30,1202.0
2014-10-31,1164.25
2014-11-01,1164.25
2014-11-02,1164.25
2014-11-03,1167.75
2014-11-04,1166.5
2014-11-05,1142.0
2014-11-06,1145.0
2014-11-07,1154.5
2014-11-08,1154.5
2014-11-09,1154.5
2014-11-10,1162.0
2014-11-11,1156.5
2014-11-12,1164.5
2014-11-13,1161.75
2014-11-14,1169.0
2014-11-15,1169.0
2014-11-16,1169.0
2014-11-17,1182.5
2014-11-18,1192.75
2014-11-19,1196.0
2014-11-20,1190.0
2014-11-21,1203.75
2014-11-22,1203.75
2014-11-23,1203.75
2014-11-24,1197.5
2014-11-25,1199.0
2014-11-26,1197.5
2014-11-27,1194.75
2014-11-28,1182.75
2014-11-29,1182.75
2014-11-30,1182.75
2014-12-01,1194.0
2014-12-02,1195.0
2014-12-03,1204.75
2014-12-04,1209.0
2014-12-05,1194.0
2014-12-06,1194.0
2014-12-07,1194.0
2014-12-08,1193.0
2014-12-09,1227.0
2014-12-10,1229.0
2014-12-11,1216.25
2014-12-12,1217.0
2014-12-13,1217.0
2014-12-14,1217.0
2014-12-15,1209.25
2014-12-16,1202.5
2014-12-17,1195.75
2014-12-18,1199.0
2014-12-19,1195.5
2014-12-20,1195.5
2014-12-21,1195.5
2014-12-22,1195.25
2014-12-23,1175.75
2014-12-24,1175.75
2014-12-25,1175.75
2014-12-26,1175.75
2014-12-27,1175.75
2014-12-28,1175.75
2014-12-29,1185.5
2014-12-30,1206.0
2014-12-31,1206.0
2015-01-01,1206.0
2015-01-02,1172.0
2015-01-03,1172.0
2015-01-04,1172.0
2015-01-05,1200.0
2015-01-06,1210.25
