date,close,vol_usd,vol_btc
2014-01-01,815.9400019999999,8663855,10618.250090403095
2014-01-02,856.909973,10826907,12634.82435861439
2014-01-03,884.26001,8409629,9510.357705761227
2014-01-04,924.6900019999999,12784626,13825.850795778368
2014-01-05,1014.73999,20789364,20487.38022042474
2014-01-06,1012.650024,23622237,23327.148017724234
2014-01-07,879.900024,21753921,24723.173549998675
2014-01-08,938.840027,12942254,13785.366652246497
2014-01-09,936.9500119999999,13202619,14091.060174937062
2014-01-10,957.76001,5909107,6169.715730770593
2014-01-11,1005.320007,10948175,10890.238853069995
2014-01-12,939.7899779999999,9620090,10236.425398441525
2014-01-13,922.909973,9220891,9991.105600502597
2014-01-14,919.2800289999999,3960633,4308.407530954858
2014-01-15,941.2199710000001,6448062,6850.74923893641
2014-01-16,913.48999,4720008,5167.005716176484
2014-01-17,894.159973,9203107,10292.461391581437
2014-01-18,905.7199710000001,5493742,6065.6076667210855
2014-01-19,954.7999880000001,7071649,7406.419238455205
2014-01-20,955.9500119999999,9981282,10441.217505837534
2014-01-21,962.2100220000001,6289022,6536.017975501818
2014-01-22,950.9500119999999,4503428,4735.714751744491
2014-01-23,944.159973,1839615,1948.4145193687425
2014-01-24,916.5499880000001,5684047,6201.567917100883
2014-01-25,961.0499880000001,7797108,8113.113883104277
2014-01-26,1007.0,13054605,12963.857994041708
2014-01-27,943.5399779999999,8052715,8534.577429426103
2014-01-28,932.679993,9757613,10461.908771747396
2014-01-29,925.669983,5254878,5676.837422090201
2014-01-30,941.3900150000001,5026461,5339.403350268167
2014-01-31,938.849976,4024749,4286.892584422882
2014-02-01,940.419983,4118865,4379.814417448422
2014-02-02,953.3099980000001,1495327,1568.5632198729966
2014-02-03,931.7100220000001,2601784,2792.482573510409
2014-02-04,926.6400150000001,4250751,4587.273300516814
2014-02-05,904.5200199999999,6865987,7590.751833220895
2014-02-06,828.869995,15719958,18965.529087586285
2014-02-07,695.650024,36412212,52342.71651516539
2014-02-08,648.780029,15503790,23896.836072307644
2014-02-09,659.570007,13186251,19992.193186552824
2014-02-10,582.630005,24334044,41765.861337676906
2014-02-11,578.960022,9621820,16619.144041693435
2014-02-12,531.130005,11628634,21894.13870526859
2014-02-13,451.44000199999994,14394464,31885.663512822688
2014-02-14,427.67999299999997,25084223,58651.850473632054
