date,ex_rate
2014-09-23,1040.7
2014-09-24,1042.1
2014-09-25,1039.8
2014-09-26,1042.6
2014-09-27,1042.6
2014-09-28,1042.6
2014-09-29,1042.7
2014-09-30,1050.6
2014-10-01,1054.7
2014-10-02,1062.1
2014-10-03,1062.1
2014-10-04,1062.1
2014-10-05,1062.1
2014-10-06,1061.1
2014-10-07,1069.7
2014-10-08,1066.5
2014-10-09,1066.5
2014-10-10,1072.3
2014-10-11,1072.3
2014-10-12,1072.3
2014-10-13,1071.0
2014-10-14,1069.1
2014-10-15,1063.5
2014-10-16,1065.8
2014-10-17,1059.9
2014-10-18,1059.9
2014-10-19,1059.9
2014-10-20,1062.7
2014-10-21,1060.4
2014-10-22,1054.5
2014-10-23,1053.7
2014-10-24,1055.4
2014-10-25,1055.4
2014-10-27,1059.3
2014-10-28,1052.6
2014-10-29,1050.6
2014-10-30,1047.0
2014-10-31,1054.0
2014-11-01,1054.0
2014-11-02,1054.0
2014-11-03,1058.8
2014-11-04,1075.1
2014-11-05,1079.9
2014-11-06,1078.7
2014-11-07,1089.1
2014-11-08,1089.1
2014-11-09,1089.1
2014-11-10,1092.5
2014-11-11,1085.2
2014-11-12,1089.9
2014-11-13,1098.5
2014-11-14,1097.5
2014-11-15,1097.5
2014-11-16,1097.5
2014-11-17,1099.6
2014-11-18,1097.0
2014-11-19,1098.9
2014-11-20,1104.2
2014-11-21,1113.1
2014-11-22,1113.1
2014-11-23,1113.1
2014-11-24,1110.9
2014-11-25,1112.2
2014-11-26,1112.8
2014-11-27,1107.0
2014-11-28,1101.1
2014-11-29,1101.1
2014-11-30,1101.1
2014-12-01,1105.0
2014-12-02,1116.2
2014-12-03,1106.8
2014-12-04,1114.4
2014-12-05,1115.8
2014-12-06,1115.8
2014-12-07,1115.8
2014-12-08,1113.2
2014-12-09,1118.3
2014-12-10,1112.0
2014-12-11,1104.5
2014-12-12,1098.1
2014-12-13,1098.1
2014-12-14,1098.1
2014-12-15,1103.9
2014-12-16,1103.0
2014-12-17,1092.4
2014-12-18,1088.1
2014-12-19,1103.2
2014-12-20,1103.2
2014-12-21,1103.2
2014-12-22,1101.3
2014-12-23,1097.3
2014-12-24,1100.5
2014-12-25,1100.5
2014-12-26,1104.3
2014-12-27,1104.3
2014-12-28,1104.3
2014-12-29,1099.5
2014-12-30,1098.2
2014-12-31,1099.2
2015-01-01,1099.2
2015-01-02,1099.2
2015-01-03,1099.2
2015-01-04,1099.2
2015-01-05,1102.6
2015-01-06,1108.7
2015-01-07,1103.9
2015-01-08,1099.7
2015-01-09,1098.5
2015-01-10,1098.5
2015-01-11,1098.5
2015-01-12,1092.2
2015-01-13,1083.0
2015-01-14,1081.5
2015-01-15,1079.9
2015-01-16,1084.1
2015-01-17,1084.1
2015-01-18,1084.1
2015-01-19,1077.3
2015-01-20,1079.8
2015-01-21,1084.4
2015-01-22,1086.8
2015-01-23,1085.3
