date,close,vol_usd,mktcap_usd,vol_btc,mktcap_btc,fed_rate,gold_usd,kospi,ex_rate
2014-03-28,495.67,58828300,6232801684,118684.40696431093,12574498.525228478,0.08,1294.75,1981.0,1072.8
2014-03-29,491.17,11147100,6178428029,22694.99358674186,12579001.219537023,0.08,1294.75,1981.0,1072.8
2014-03-30,460.27,42958300,5791419543,93332.82638451344,12582657.012188498,0.08,1294.75,1981.0,1072.8
2014-03-31,457.0,28254000,5752294437,61824.94529540482,12587077.542669585,0.08,1291.75,1985.61,1068.8
2014-04-01,478.38,35685800,6023351178,74597.18215644467,12591143.396463063,0.09,1283.75,1991.98,1066.1
2014-04-02,437.14,49647600,5506313797,113573.68348812738,12596225.001143798,0.09,1292.0,1997.25,1060.5
2014-04-03,444.72,40765500,5604036051,91665.54236373448,12601268.3283864,0.09,1284.0,1993.7,1057.0
2014-04-04,447.53,22925500,5641613449,51226.733403347265,12606112.325430699,0.09,1297.25,1988.09,1058.1
2014-04-05,461.91,13404500,5824866676,29019.722456755644,12610393.098222597,0.09,1297.25,1988.09,1058.1
2014-04-06,460.5,10241400,5808861023,22239.73941368078,12614247.606948968,0.09,1297.25,1988.09,1058.1
2014-04-07,449.42,15616600,5670830650,34748.342307863466,12618109.229673801,0.09,1299.0,1989.7,1056.1
2014-04-08,453.09,10921600,5718579640,24104.703259838003,12621288.574013993,0.09,1309.5,1993.03,1053.4
2014-04-09,442.73,13204400,5589580215,29824.949743636076,12625257.414225373,0.09,1301.75,1998.95,1053.6
2014-04-10,365.18,55868300,4611917257,152988.38928747468,12629161.665480036,0.09,1320.5,2008.61,1043.2
2014-04-11,420.95,62562800,5318033925,148622.8768262264,12633409.965554103,0.09,1318.0,1997.44,1036.0
2014-04-12,421.12,19226500,5321874506,45655.63259878419,12637429.962955927,0.09,1318.0,1997.44,1036.0
2014-04-13,414.06,22493500,5234667259,54324.252523788826,12642291.597836062,0.09,1318.0,1997.44,1036.0
2014-04-14,458.79,50730200,5802302128,110573.90091327186,12646967.300943786,0.09,1325.75,1997.02,1037.5
2014-04-15,515.59,49561000,6522974948,96124.8278671037,12651476.847883007,0.09,1298.0,1992.27,1038.9
2014-04-16,527.4,56480100,6674473792,107091.58134243458,12655430.018960942,0.09,1301.5,1992.21,1041.2
2014-04-17,495.96,34025500,6278792387,68605.33107508671,12659876.57674006,0.09,1299.0,1992.05,1041.3
2014-04-18,479.64,19042400,6074116360,39701.442748728216,12663907.013593528,0.09,1299.0,2004.28,1037.1
2014-04-19,501.57,19588200,6353700029,39053.771158562115,12667623.719520705,0.09,1299.0,2004.28,1037.1
2014-04-20,498.17,12103100,6312896984,24295.120139711344,12672174.125298593,0.09,1299.0,2004.28,1037.1
2014-04-21,495.77,15171400,6284666435,30601.690299937472,12676576.708957784,0.09,1299.0,1999.22,1037.2
2014-04-22,487.92,11670900,6187034895,23919.699950811606,12680428.95351697,0.09,1286.75,2004.22,1037.9
2014-04-23,491.3,9814530,6231920621,19976.65377569713,12684552.454711989,0.09,1285.25,2000.37,1039.6
2014-04-24,500.46,13009400,6350012525,25994.884706070417,12688351.766374936,0.09,1291.5,1998.34,1039.5
2014-04-25,461.45,46856500,5857079867,101541.87886011486,12692772.49322787,0.09,1301.25,1971.66,1038.3
2014-04-26,458.6,12214600,5822776642,26634.539904055822,12696852.686436981,0.09,1301.25,1971.66,1038.3
2014-04-27,436.39,10949500,5542720307,25091.08824675176,12701300.0,0.09,1301.25,1971.66,1038.3
2014-04-28,440.29,23876600,5593864954,54229.25798905267,12704955.720093574,0.09,1299.0,1969.26,1038.9
2014-04-29,447.21,16401400,5683724524,36674.9401847007,12709296.581024576,0.09,1297.75,1964.77,1037.1
2014-04-30,447.64,15244900,5690810165,34056.16120096506,12712916.998034135,0.09,1288.5,1961.79,1031.7
2014-05-01,457.76,12871800,5821425472,28119.101712687872,12717200.0,0.09,1278.5,1961.79,1031.7
2014-05-02,449.38,10394200,5716625927,23130.090346699897,12721140.07521474,0.09,1281.25,1959.44,1032.2
2014-05-03,437.76,9849640,5570422954,22500.091374269006,12724833.136878654,0.09,1281.25,1959.44,1032.2
2014-05-04,436.4,5621260,5554777406,12880.980751604033,12728637.502291476,0.09,1281.25,1959.44,1032.2
2014-05-05,433.48,10004800,5518951942,23080.18824397896,12731733.7408877,0.09,1281.25,1959.44,1032.2
2014-05-06,428.96,12507300,5463474513,29157.264080566954,12736559.383159269,0.09,1306.25,1959.44,1032.2
2014-05-07,438.82,18332200,5590798951,41776.12688573903,12740529.034683926,0.09,1296.0,1939.88,1031.2
2014-05-08,440.17,9446580,5609810850,21461.208169570848,12744646.045845922,0.09,1287.0,1950.6,1025.6
2014-05-09,449.46,10347900,5730133343,23022.96088639701,12748928.365149291,0.09,1291.25,1956.55,1023.5
2014-05-10,454.43,6682600,5795543101,14705.455185617147,12753434.1944854,0.09,1291.25,1956.55,1023.5
2014-05-11,438.89,12251700,5598956479,27915.19515140468,12757083.731686756,0.09,1291.25,1956.55,1023.5
2014-05-12,441.46,7383770,5633629021,16725.796221628236,12761357.814977575,0.09,1298.75,1964.94,1023.0
2014-05-13,440.67,7682670,5625308533,17434.066308121724,12765353.967821725,0.09,1296.5,1982.93,1025.0
2014-05-14,443.97,9472960,5669111766,21336.93718044012,12769132.522467734,0.09,1305.25,2010.83,1022.9
2014-05-15,447.25,7362980,5712906334,16462.78367803242,12773407.119060928,0.09,1299.0,2010.2,1024.6
2014-05-16,448.06,6475100,5725217915,14451.412757220016,12777792.962996027,0.09,1291.5,2013.44,1026.5
2014-05-17,448.9,2945790,5737967927,6562.241033637782,12782285.424370684,0.09,1291.5,2013.44,1026.5
2014-05-18,446.26,2857830,5706165793,6403.957334289428,12786639.61143728,0.09,1291.5,2013.44,1026.5
2014-05-19,446.18,6242620,5706978471,13991.259133085301,12790753.666681608,0.09,1302.0,2015.14,1025.8
2014-05-20,485.72,40327500,6214911439,83026.22910318701,12795255.371407395,0.09,1295.5,2011.26,1022.7
2014-05-21,491.77,14626000,6294422409,29741.54584460215,12799524.999491632,0.09,1287.25,2008.33,1024.1
2014-05-22,524.58,33086500,6716604600,63072.36265202638,12803775.591902092,0.09,1298.5,2015.59,1026.7
2014-05-23,520.22,34934700,6662964359,67153.70420206836,12807974.239744723,0.09,1291.5,2017.17,1025.2
2014-05-24,525.14,11499300,6727963028,21897.589214304757,12811751.205392849,0.09,1291.5,2017.17,1025.2
2014-05-25,571.59,47010300,7325371780,82244.79084658583,12815780.157105617,0.09,1291.5,2017.17,1025.2
2014-05-26,583.42,29959800,7479335238,51352.027698741906,12819812.89294162,0.09,1291.5,2010.35,1024.3
2014-05-27,571.24,38032000,7325147499,66577.97073034101,12823239.792381486,0.09,1275.5,1997.63,1023.9
2014-05-28,577.06,19289000,7402205099,33426.33348351991,12827444.458115276,0.09,1263.5,2017.06,1023.4
2014-05-29,568.18,18707800,7290260762,32925.833362666766,12830900.000000002,0.09,1255.0,2012.26,1022.6
2014-05-30,615.33,31985400,7897757908,51980.88830383696,12834995.70636894,0.09,1250.5,1994.96,1021.6
2014-05-31,623.68,15107100,8007248676,24222.517957927143,12838713.243971268,0.09,1250.5,1994.96,1021.6
2014-06-01,630.23,45259100,8094125581,71813.62359773416,12843129.62093204,0.1,1250.5,1994.96,1021.6
2014-06-02,660.62,45450200,8487587033,68799.30973933577,12847911.10320608,0.1,1247.25,2002.0,1020.4
2014-06-03,667.6,40653700,8580309812,60895.2965847813,12852471.258238466,0.1,1242.75,2008.56,1023.6
2014-06-04,641.61,37731500,8249183077,58807.531054690546,12857005.154221412,0.1,1245.25,2008.56,1023.6
2014-06-05,659.26,29621300,8478552324,44931.13490883718,12860710.985043837,0.1,1252.5,1995.48,1024.3
2014-06-06,653.7,18680100,8409353268,28575.95227168426,12864239.35750344,0.1,1247.5,1995.48,1024.3
2014-06-07,654.97,15855300,8428206589,24207.673633906896,12868080.353298623,0.1,1247.5,1995.48,1024.3
2014-06-08,656.14,8614190,8445489607,13128.585362879874,12871475.000762032,0.1,1247.5,1995.48,1024.3
2014-06-09,649.16,19065400,8358149331,29369.338837882802,12875330.166676937,0.1,1253.5,1990.04,1022.6
2014-06-10,653.15,17913400,8412294411,27426.16550562658,12879574.99961724,0.1,1259.5,2011.8,1017.4
2014-06-11,633.02,25163800,8155307439,39751.98255979274,12883175.000789864,0.1,1262.0,2014.67,1016.5
2014-06-12,586.95,50818800,7564343900,86581.1397904421,12887543.91345089,0.1,1265.75,2011.65,1016.5
2014-06-13,600.16,35700700,7737046327,59485.303918954945,12891639.441149028,0.1,1273.0,1990.85,1017.5
2014-06-14,577.36,38481200,7445594334,66650.27019537204,12895930.32769849,0.1,1273.0,1990.85,1017.5
2014-06-15,592.94,23580900,7649361650,39769.45390764664,12900734.728640333,0.1,1273.0,1990.85,1017.5
2014-06-16,592.19,28677500,7642482234,48426.18078657187,12905456.414326482,0.1,1276.25,1993.59,1018.0
2014-06-17,610.86,18597300,7886300055,30444.45535801984,12910159.537373539,0.1,1267.5,2001.55,1019.5
2014-06-18,607.96,17862000,7851200010,29380.222383051514,12914007.516941903,0.1,1269.75,1989.49,1022.1
2014-06-19,598.07,12803800,7726000792,21408.530773989663,12918221.599478321,0.1,1293.0,1992.03,1023.1
2014-06-20,594.15,18134100,7678074490,30521.08053521838,12922787.999663385,0.1,1312.5,1968.07,1018.3
2014-06-21,594.99,9256290,7691773955,15557.051379014772,12927568.454932015,0.1,1312.5,1968.07,1018.3
2014-06-22,602.27,10877700,7788609493,18061.168578876583,12932089.416706793,0.1,1312.5,1968.07,1018.3
2014-06-23,593.98,14053800,7684029467,23660.39260581164,12936512.11656958,0.1,1313.5,1974.92,1019.6
2014-06-24,582.36,14144900,7536340173,24288.927810976027,12941033.335050484,0.1,1318.5,1994.35,1018.4
2014-06-25,566.34,20687700,7331658430,36528.76364021612,12945683.564643146,0.1,1316.75,1981.77,1018.0
2014-06-26,581.14,14655900,7525767735,25219.22428330523,12950008.147778505,0.1,1311.75,1995.05,1020.6
2014-06-27,597.26,20814600,7737366940,34850.149013829825,12954771.690720959,0.1,1317.5,1988.51,1017.0
2014-06-28,596.55,13398100,7730991679,22459.307685860367,12959503.275500797,0.1,1317.5,1988.51,1017.0
2014-06-29,602.72,8897470,7813280835,14762.194717281656,12963367.459185027,0.1,1317.5,1988.51,1017.0
2014-06-30,639.8,46422400,8296103745,72557.67427321039,12966714.199749922,0.1,1315.0,2002.21,1014.4
2014-07-01,640.81,38446300,8311317901,59996.410792590636,12970019.039965045,0.09,1327.5,1999.0,1012.1
2014-07-02,650.88,25768200,8444194978,39589.78613569322,12973505.066986235,0.09,1326.5,2015.28,1011.8
2014-07-03,645.16,18949000,8372189412,29371.008742017486,12976919.542439086,0.09,1317.5,2010.97,1009.8
2014-07-04,630.69,22237200,8187107456,35258.52637587404,12981191.165231729,0.09,1319.25,2009.66,1009.6
2014-07-05,631.46,9105940,8199437572,14420.454185538276,12984888.309631646,0.09,1319.25,2009.66,1009.6
2014-07-06,635.81,10080000,8258179220,15853.792799735771,12988438.715968609,0.09,1319.25,2009.66,1009.6
2014-07-07,624.09,17813600,8108140914,28543.31907256966,12991941.729558237,0.09,1313.0,2005.12,1008.9
2014-07-08,624.82,10005500,8120056626,16013.411862616433,12995833.401619665,0.09,1323.0,2006.66,1009.9
2014-07-09,624.51,9819150,8118679451,15722.966805975886,13000079.183680005,0.09,1322.75,2000.5,1011.2
2014-07-10,616.76,15880700,8020234277,25748.589402685,13003817.168752838,0.09,1340.25,2002.84,1012.2
2014-07-11,632.0,16467100,8220889623,26055.537974683546,13007736.745253164,0.09,1335.0,1988.74,1011.9
2014-07-12,633.71,13329000,8245635914,21033.28020703476,13011686.59797068,0.09,1335.0,1988.74,1011.9
2014-07-13,626.5,11291000,8154265678,18022.346368715083,13015587.674381485,0.09,1335.0,1988.74,1011.9
2014-07-14,619.32,12706800,8062877468,20517.341600465024,13018919.892785635,0.09,1306.0,1993.88,1018.0
2014-07-15,621.59,10873200,8094883399,17492.559404108815,13022866.19636738,0.09,1310.0,2012.72,1018.5
2014-07-16,616.8,13182400,8034806880,21372.24383916991,13026600.000000002,0.09,1301.0,2013.48,1023.7
2014-07-17,623.09,16576700,8119394873,26604.021890898584,13030854.086889533,0.09,1302.5,2020.9,1032.7
2014-07-18,628.78,14158100,8196212862,22516.778523489935,13035104.268583607,0.09,1307.25,2019.42,1029.6
2014-07-19,628.52,7222030,8195599907,11490.533316362249,13039521.26742188,0.09,1307.25,2019.42,1029.6
2014-07-20,623.9,5760120,8137808455,9232.44109632954,13043450.0,0.09,1307.25,2019.42,1029.6
2014-07-21,622.21,10711900,8118204691,17215.89174073062,13047370.969608331,0.09,1311.5,2018.5,1031.9
2014-07-22,621.55,9602880,8111799946,15449.891400530933,13050920.997506235,0.09,1310.25,2028.93,1027.5
2014-07-23,619.41,11056600,8086153118,17850.212298800474,13054605.379312573,0.09,1308.0,2028.32,1024.6
2014-07-24,601.73,20917200,7857489687,34761.77022917255,13058165.1022884,0.09,1292.75,2026.62,1022.8
2014-07-25,601.09,12279500,7851574790,20428.72115656557,13062228.268645294,0.09,1294.75,2033.85,1028.0
2014-07-26,595.81,10752900,7784669228,18047.531931320387,13065690.787331533,0.09,1294.75,2033.85,1028.0
2014-07-27,593.85,7774230,7761289329,13091.235160394039,13069444.016165698,0.09,1294.75,2033.85,1028.0
2014-07-28,585.69,19316400,7656826297,32980.58699994878,13073172.321535282,0.09,1304.5,2048.81,1029.4
2014-07-29,584.72,11275400,7646390353,19283.4177042003,13077011.82275277,0.09,1299.25,2061.97,1025.2
2014-07-30,567.29,14898800,7420859009,26263.1105783638,13081244.176699748,0.09,1294.5,2082.61,1024.7
2014-07-31,586.23,22467900,7670841007,38326.08361905737,13085036.60167511,0.09,1285.25,2076.12,1024.3
2014-08-01,594.92,18215900,7786796032,30619.074833591072,13088811.99489007,0.09,1291.25,2073.1,1026.2
2014-08-02,589.33,8359080,7716181169,14184.039502485874,13093141.650688069,0.09,1291.25,2073.1,1026.2
2014-08-03,586.67,9917990,7683520602,16905.568718359555,13096835.703206232,0.09,1291.25,2073.1,1026.2
2014-08-04,588.78,9867570,7713117798,16759.349842046267,13100169.499643331,0.09,1290.5,2080.42,1033.7
2014-08-05,585.44,10790800,7671275262,18431.948619841485,13103435.470757036,0.09,1284.75,2066.26,1031.7
2014-08-06,584.65,14497900,7663383046,24797.571196442317,13107642.257761054,0.09,1306.5,2060.73,1030.8
2014-08-07,588.87,11131400,7721014780,18902.983680608624,13111577.733625418,0.09,1305.25,2054.51,1034.3
2014-08-08,592.58,11072000,7771958458,18684.397043437173,13115458.601370279,0.09,1309.75,2031.1,1034.4
2014-08-09,589.37,7922070,7732619577,13441.590172557137,13120144.522116836,0.09,1309.75,2031.1,1034.4
2014-08-10,591.06,7555310,7757394871,12782.64473995872,13124547.205021488,0.09,1309.75,2031.1,1034.4
2014-08-11,576.37,14764200,7567178700,25615.837049117756,13129029.442892587,0.09,1307.25,2039.37,1037.4
2014-08-12,569.64,13978200,7481336243,24538.6559932589,13133446.111579243,0.09,1315.75,2041.47,1030.6
2014-08-13,546.66,25777500,7181459812,47154.538469981344,13136976.936304102,0.09,1312.0,2062.36,1028.3
2014-08-14,505.97,35803900,6649282620,70762.89108049884,13141653.892523272,0.09,1313.5,2063.22,1028.1
2014-08-15,497.01,25598300,6533519507,51504.59749300819,13145650.001006017,0.09,1296.0,2063.22,1028.1
2014-08-16,519.71,22832500,6833965310,43933.15502876604,13149574.39726001,0.09,1296.0,2063.22,1028.1
2014-08-17,491.8,24300900,6468997661,49412.1594143961,13153716.268808458,0.09,1296.0,2063.22,1028.1
2014-08-18,461.46,50783800,6072259848,110050.27521345296,13158800.0,0.09,1296.75,2053.13,1024.9
2014-08-19,485.24,38422400,6387510426,79182.26032478773,13163610.638034787,0.09,1296.5,2071.14,1017.7
2014-08-20,511.98,46527600,6741573447,90877.76866283838,13167650.0,0.09,1295.0,2072.78,1018.0
2014-08-21,517.24,49444200,6812929386,95592.37491299976,13171698.60412961,0.09,1275.25,2044.21,1020.9
2014-08-22,514.04,36563900,6772889206,71130.45677379193,13175801.894794181,0.09,1277.25,2056.7,1023.9
2014-08-23,498.08,25171900,6564528885,50537.86540314809,13179667.693944748,0.09,1277.25,2056.7,1023.9
2014-08-24,508.29,19441700,6700963067,38249.22780302583,13183346.253123216,0.09,1277.25,2056.7,1023.9
2014-08-25,502.5,18356700,6626339378,36530.746268656716,13186745.03084577,0.09,1277.25,2060.89,1019.5
2014-08-26,511.57,23235100,6748171027,45419.1997185136,13191100.0,0.09,1286.0,2068.05,1020.6
2014-08-27,511.15,22648500,6744868296,44308.91127848968,13195477.444977013,0.09,1282.75,2074.93,1018.0
2014-08-28,507.82,19862000,6703031046,39112.283880115,13199620.03465795,0.09,1292.0,2075.76,1014.6
2014-08-29,508.52,17624800,6714458468,34659.01046173208,13203922.103358768,0.09,1285.75,2068.54,1013.6
2014-08-30,504.25,9424070,6660385523,18689.281110560238,13208498.806147745,0.09,1285.75,2068.54,1013.6
2014-08-31,477.76,44632300,6312801960,93419.91795043537,13213332.970529135,0.09,1285.75,2068.54,1013.6
2014-09-01,474.88,20432000,6276309535,43025.6064690027,13216622.167705527,0.09,1286.5,2067.86,1014.9
2014-09-02,477.43,23337900,6311703012,48882.34924491549,13220164.237689294,0.09,1267.0,2051.58,1014.3
2014-09-03,477.59,13342200,6315859936,27936.514583638687,13224439.238677528,0.09,1265.5,2051.2,1015.6
2014-09-04,489.66,26081400,6477467310,53264.305844871946,13228500.0,0.09,1271.5,2056.26,1018.9
2014-09-05,483.34,15302500,6395641762,31659.90813919808,13232179.753382713,0.09,1266.0,2049.41,1018.0
2014-09-06,484.83,10601400,6417500778,21866.221149681332,13236600.0,0.09,1266.0,2049.41,1018.0
2014-09-07,482.28,8994050,6385589802,18649.02131541843,13240420.092062702,0.09,1266.0,2049.41,1018.0
2014-09-08,474.6,30238000,6285637995,63712.6000842815,13244075.0,0.09,1259.0,2049.41,1018.0
2014-09-09,475.26,21447800,6296101902,45128.56120860161,13247700.0,0.09,1255.75,2049.41,1018.0
2014-09-10,479.36,22787800,6352285708,47537.96728971962,13251597.354806408,0.09,1251.0,2049.41,1018.0
2014-09-11,479.75,16852900,6359504769,35128.504429390305,13255872.368942158,0.09,1241.25,2034.16,1024.6
