DATE,GOLDPMGBD228NLBM
2009-06-11,947.500
2009-06-12,937.250
2009-06-15,932.250
2009-06-16,934.000
2009-06-17,930.500
2009-06-18,940.500
2009-06-19,935.250
2009-06-22,919.250
2009-06-23,920.750
2009-06-24,933.500
2009-06-25,937.250
2009-06-26,942.000
2009-06-29,935.500
2009-06-30,934.500
2009-07-01,938.250
2009-07-02,929.500
2009-07-03,932.500
2009-07-06,924.500
2009-07-07,924.000
2009-07-08,918.000
2009-07-09,911.750
2009-07-10,913.000
2009-07-13,908.500
2009-07-14,924.750
2009-07-15,938.000
2009-07-16,935.000
2009-07-17,937.500
2009-07-20,952.750
2009-07-21,947.750
2009-07-22,948.250
2009-07-23,950.000
2009-07-24,951.500
2009-07-27,955.000
2009-07-28,944.250
2009-07-29,931.000
2009-07-30,932.500
2009-07-31,939.000
2009-08-03,959.750
2009-08-04,960.500
2009-08-05,960.500
2009-08-06,964.000
2009-08-07,956.000
2009-08-10,945.000
2009-08-11,942.750
2009-08-12,947.250
2009-08-13,953.500
2009-08-14,953.500
2009-08-17,932.750
2009-08-18,935.000
2009-08-19,943.000
2009-08-20,940.500
2009-08-21,952.500
2009-08-24,951.500
2009-08-25,950.500
2009-08-26,940.500
2009-08-27,943.000
2009-08-28,955.500
2009-08-31,.
2009-09-01,955.000
2009-09-02,964.750
2009-09-03,983.000
2009-09-04,989.000
2009-09-07,993.000
2009-09-08,1000.750
2009-09-09,999.500
2009-09-10,990.750
2009-09-11,1008.250
2009-09-14,999.250
2009-09-15,996.000
2009-09-16,1015.750
2009-09-17,1018.500
2009-09-18,1012.000
2009-09-21,997.000
2009-09-22,1014.000
2009-09-23,1010.250
2009-09-24,1009.750
2009-09-25,991.500
2009-09-28,991.750
2009-09-29,989.500
2009-09-30,995.750
2009-10-01,1004.750
2009-10-02,1003.500
2009-10-05,1005.500
2009-10-06,1038.750
2009-10-07,1040.250
2009-10-08,1045.000
2009-10-09,1051.500
2009-10-12,1058.750
2009-10-13,1057.500
2009-10-14,1059.500
2009-10-15,1053.500
2009-10-16,1047.500
2009-10-19,1050.500
2009-10-20,1061.750
2009-10-21,1053.750
2009-10-22,1053.000
2009-10-23,1061.750
2009-10-26,1054.000
2009-10-27,1036.500
2009-10-28,1031.750
2009-10-29,1040.500
2009-10-30,1040.000
2009-11-02,1062.000
2009-11-03,1061.000
2009-11-04,1090.000
2009-11-05,1089.000
2009-11-06,1096.750
2009-11-09,1106.750
2009-11-10,1101.500
2009-11-11,1115.250
2009-11-12,1114.750
2009-11-13,1104.000
2009-11-16,1130.000
2009-11-17,1134.750
2009-11-18,1149.000
2009-11-19,1135.500
2009-11-20,1140.000
2009-11-23,1169.500
2009-11-24,1163.250
2009-11-25,1179.750
2009-11-26,1182.750
2009-11-27,1166.500
2009-11-30,1175.750
2009-12-01,1192.500
2009-12-02,1212.500
2009-12-03,1208.750
2009-12-04,1190.250
2009-12-07,1142.500
2009-12-08,1146.750
2009-12-09,1141.000
2009-12-10,1128.500
2009-12-11,1124.000
2009-12-14,1123.750
2009-12-15,1122.000
2009-12-16,1137.500
2009-12-17,1117.000
2009-12-18,1104.500
2009-12-21,1105.500
2009-12-22,1084.000
2009-12-23,1085.250
2009-12-24,.
2009-12-25,.
2009-12-28,.
2009-12-29,1106.000
2009-12-30,1087.500
2009-12-31,.
2010-01-01,.
2010-01-04,1121.500
2010-01-05,1123.250
2010-01-06,1130.000
2010-01-07,1130.250
2010-01-08,1126.750
2010-01-11,1153.000
2010-01-12,1151.250
2010-01-13,1127.250
2010-01-14,1138.250
2010-01-15,1128.000
2010-01-18,1134.500
2010-01-19,1133.000
2010-01-20,1120.250
2010-01-21,1108.250
2010-01-22,1084.000
2010-01-25,1095.250
2010-01-26,1093.250
2010-01-27,1094.750
2010-01-28,1088.000
2010-01-29,1078.500
2010-02-01,1086.500
2010-02-02,1111.000
2010-02-03,1115.250
2010-02-04,1083.250
2010-02-05,1058.000
2010-02-08,1064.000
2010-02-09,1071.250
2010-02-10,1069.500
2010-02-11,1076.250
2010-02-12,1082.000
2010-02-15,1098.250
2010-02-16,1115.250
2010-02-17,1119.000
2010-02-18,1118.000
2010-02-19,1112.750
2010-02-22,1115.250
2010-02-23,1107.000
2010-02-24,1103.000
2010-02-25,1094.500
2010-02-26,1108.250
2010-03-01,1114.000
2010-03-02,1126.500
2010-03-03,1136.500
2010-03-04,1134.500
2010-03-05,1135.000
2010-03-08,1125.750
2010-03-09,1115.750
2010-03-10,1120.500
2010-03-11,1104.000
2010-03-12,1106.250
2010-03-15,1104.250
2010-03-16,1124.750
2010-03-17,1121.750
2010-03-18,1122.750
2010-03-19,1105.500
2010-03-22,1097.250
2010-03-23,1101.500
2010-03-24,1090.750
2010-03-25,1093.000
2010-03-26,1096.500
2010-03-29,1107.500
2010-03-30,1107.000
2010-03-31,1115.500
2010-04-01,1123.500
2010-04-02,.
2010-04-05,.
2010-04-06,1132.750
2010-04-07,1142.000
2010-04-08,1148.000
2010-04-09,1152.500
2010-04-12,1158.750
2010-04-13,1148.250
2010-04-14,1153.750
2010-04-15,1154.500
2010-04-16,1151.500
2010-04-19,1136.250
2010-04-20,1144.750
2010-04-21,1143.000
2010-04-22,1133.750
2010-04-23,1139.500
2010-04-26,1154.500
2010-04-27,1149.500
2010-04-28,1161.000
2010-04-29,1166.750
2010-04-30,1179.250
2010-05-03,.
2010-05-04,1185.000
2010-05-05,1165.000
2010-05-06,1185.250
2010-05-07,1202.250
2010-05-10,1196.500
2010-05-11,1222.500
2010-05-12,1237.500
2010-05-13,1237.500
2010-05-14,1236.500
2010-05-17,1236.000
2010-05-18,1216.750
2010-05-19,1195.000
2010-05-20,1192.000
2010-05-21,1179.750
2010-05-24,1187.000
2010-05-25,1198.250
2010-05-26,1212.000
2010-05-27,1211.000
2010-05-28,1207.500
2010-05-31,.
2010-06-01,1227.750
2010-06-02,1215.000
2010-06-03,1215.000
2010-06-04,1203.500
2010-06-07,1215.000
2010-06-08,1246.000
2010-06-09,1233.500
2010-06-10,1217.500
2010-06-11,1220.000
2010-06-14,1223.750
2010-06-15,1225.000
2010-06-16,1234.500
2010-06-17,1245.000
2010-06-18,1256.000
2010-06-21,1254.500
2010-06-22,1236.000
2010-06-23,1226.500
2010-06-24,1236.250
2010-06-25,1254.000
2010-06-28,1261.000
2010-06-29,1234.500
2010-06-30,1244.000
2010-07-01,1234.000
2010-07-02,1201.500
2010-07-05,1208.000
2010-07-06,1195.000
2010-07-07,1193.250
2010-07-08,1193.500
2010-07-09,1208.750
2010-07-12,1205.500
2010-07-13,1216.000
2010-07-14,1207.000
2010-07-15,1208.000
2010-07-16,1189.250
2010-07-19,1181.000
2010-07-20,1183.000
2010-07-21,1191.500
2010-07-22,1199.500
2010-07-23,1190.500
2010-07-26,1183.500
2010-07-27,1168.000
2010-07-28,1157.000
2010-07-29,1162.500
2010-07-30,1169.000
2010-08-02,1188.500
2010-08-03,1187.500
2010-08-04,1199.500
2010-08-05,1192.500
2010-08-06,1207.750
2010-08-09,1203.000
2010-08-10,1192.500
2010-08-11,1205.500
2010-08-12,1213.000
2010-08-13,1214.250
2010-08-16,1223.500
2010-08-17,1226.000
2010-08-18,1218.000
2010-08-19,1233.500
2010-08-20,1223.500
2010-08-23,1226.000
2010-08-24,1222.000
2010-08-25,1237.500
2010-08-26,1237.000
2010-08-27,1235.000
2010-08-30,.
2010-08-31,1246.000
2010-09-01,1246.500
2010-09-02,1248.500
2010-09-03,1240.500
2010-09-06,1249.000
2010-09-07,1256.750
2010-09-08,1255.000
2010-09-09,1255.000
2010-09-10,1246.500
2010-09-13,1243.750
2010-09-14,1265.500
2010-09-15,1267.000
2010-09-16,1272.500
2010-09-17,1274.000
2010-09-20,1279.250
2010-09-21,1275.000
2010-09-22,1293.500
2010-09-23,1290.750
2010-09-24,1297.000
2010-09-27,1297.000
2010-09-28,1294.000
2010-09-29,1307.500
2010-09-30,1307.000
2010-10-01,1316.250
2010-10-04,1313.500
2010-10-05,1330.500
2010-10-06,1346.500
2010-10-07,1345.000
2010-10-08,1341.500
2010-10-11,1351.500
2010-10-12,1348.500
2010-10-13,1365.500
